Country,Connection,Patient Organization,Hospital/Dr,P - Tranexamic Acid,P - Danazol,P - Cinryze,P - Takhzyro,P - Orladeyo,P- Haegarda,A - Firazyr,A - Generic Icatibant,A - Berinert,A - Kalbitor,A - Ruconest,A - FFP,Source,Region
Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
China,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/china/,Asia
Cyprus,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,https://haei.org/about-haei/globally/,Asia
Georgia,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Hong Kong,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/hong-kong/,Asia
India,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/india/,Asia
Indonesia,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/indonesia/,Asia
Iran,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/iran/,Asia
Iraq,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Israel,Yes,yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,https://haei.org/about-haei/globally/,Asia
Japan,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/japan/,Asia
Jordan,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Kazakhstan,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/kazakhstan/,Asia
Kuwait,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Lebanon,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Malaysia,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/malaysia/,Asia
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Oman,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,https://haei.org/about-haei/globally/,Asia
Pakistan,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,https://haei.org/hae-member-countries/pakistan/,Asia
Phillipines,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/philippines/,Asia
Qatar,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Russia,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/russia/,Asia
